File,FSL,Genus,species,AT,Lab_ID,Trial,HTST_Temp,PlateType,Storage_Temp,Day
Lonestar ESL Isolates.xlsx#Sheet1,L8-0163,,,,1-CVTA-85-6.5-D35-1,1,85,CVTA,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0164,,,,1-CVTA-75-10-D35-1,1,75,CVTA,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0165,,,,1-CVTA-85-10-D35-1,1,85,CVTA,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0166,,,,1-CVTA-90-10-D35-1,1,90,CVTA,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0167,,,,1-75-3-D28-2,1,75,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0168,,,,1-75-3-D28-3,1,75,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0169,,,,1-85-3-D28-1,1,85,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0170,,,,1-85-3-D28-2,1,85,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0171,,,,1-90-3-D28-1,1,90,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0172,,,,1-90-3-D28-2,1,90,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0173,,,,1-75-6.5-D28-1,1,75,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0174,,,,1-75-6.5-D28-2,1,75,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0175,,,,1-85-6.5-D28-1,1,85,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0176,,,,1-90-6.5-D28-1,1,90,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0177,,,,1-90-6.5-D28-2,1,90,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0178,,,,1-90-6.5-D28-3,1,90,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0179,,,,1-75-10-D28-1,1,75,,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0180,,,,1-75-10-D28-2,1,75,,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0181,,,,1-75-10-D28-3,1,75,,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0182,,,,1-85-10-D28-1,1,85,,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0183,,,,1-85-10-D28-2,1,85,,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0184,,,,1-85-10-D28-3,1,85,,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0185,,,,1-90-10-D28-1,1,90,,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0186,,,,1-75-3-D35-1,1,75,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0187,,,,1-75-3-D35-2,1,75,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0188,,,,1-85-3-D35-1,1,85,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0189,,,,1-85-3-D35-2,1,85,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0190,,,,1-90-3-D35-1,1,90,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0191,,,,1-90-3-D35-2,1,90,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0192,,,,1-90-3-D35-3,1,90,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0193,,,,1-75-6.5-D35-1,1,75,,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0194,,,,1-75-6.5-D35-2,1,75,,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0195,,,,1-85-6.5-D35-1,1,85,,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0196,,,,1-90-6.5-D35-1,1,90,,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0197,,,,1-90-6.5-D35-2,1,90,,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0198,,,,1-75-10-D35-1,1,75,,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0199,,,,1-75-10-D35-2,1,75,,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0200,,,,1-75-10-D35-3,1,75,,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0201,,,,1-85-10-D35-1,1,85,,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0202,,,,1-90-10-D35-2,1,90,,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0203,,,,1-90-10-D35-1,1,90,,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0204,,,,1-85-10-D35-2,1,85,,10,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0205,,,,2-MSC-1,2,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0206,,,,2-MSC-2,2,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0207,,,,2-MSC-3,2,,MSC,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0208,,,,2-MSC-4,2,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0209,,,,2-MSC-5,2,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0210,,,,2-MSC-6,2,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0211,,,,2-PSC-1,2,,PSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0212,,,,2-PSC-2,2,,PSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0213,,,,2-RawMilk-APC-1,2,,RawMilk,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0214,,,,2-LPC-1,2,,LPC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0215,,,,2-LPC-2,2,,LPC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0216,,,,2-LPC-3,2,,LPC,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0217,,,,2-PI-1,2,,PI,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0218,,,,2-PI-2,2,,PI,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0219,,,,2-75-DI-1,2,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0220,,,,2-75-DI-2,2,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0221,,,,2-75-DI-3,2,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0222,,,,2-75-DI-4,2,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0223,,,,2-85-DI-1,2,85,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0224,,,,2-85-DI-2,2,85,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0225,,,,2-90-DI-1,2,90,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0226,,,,2-90-DI-2,2,90,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0227,,,,2-75-10-D3-1,2,75,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0228,,,,2-75-10-D3-2,2,75,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0229,,,,2-85-10-D3-1,2,85,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0230,,,,2-85-10-D3-2,2,85,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0231,,,,2-90-10-D3-1,2,90,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0232,,,,2-90-10-D3-2,2,90,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0233,,,,2-90-10-D3-3,2,90,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0234,,,,2-75-10-D5-1,2,75,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0235,,,,2-75-10-D5-2,2,75,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0236,,,,2-75-10-D5-3,2,75,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0237,,,,2-75-10-D5-4,2,75,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0238,,,,2-85-10-D5-1,2,85,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0239,,,,2-85-10-D5-2,2,85,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0240,,,,2-85-10-D5-3,2,85,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0241,,,,2-90-10-D5-1,2,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0242,,,,2-90-10-D5-2,2,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0243,,,,2-90-10-D5-3,2,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0244,,,,2-90-10-D5-4,2,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0245,,,,2-CVTA-85-10-D5-1,2,85,CVTA,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0246,,,,2-75-3-D7-1,2,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0247,,,,2-75-3-D7-2,2,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0248,,,,2-75-3-D7-3,2,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0249,,,,2-75-3-D7-4,2,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0250,,,,2-85-3-D7-1,2,85,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0251,,,,2-85-3-D7-2,2,85,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0252,,,,2-85-3-D7-3,2,85,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0253,,,,2-85-3-D7-4,2,85,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0254,,,,2-90-3-D7-1,2,90,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0255,,,,2-90-3-D7-2,2,90,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0256,,,,2-75-6.5-D7-1,2,75,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0257,,,,2-75-6.5-D7-3,2,75,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0258,,,,2-75-6.5-D7-4,2,75,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0259,,,,2-85-6.5-D7-1,2,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0260,,,,2-85-6.5-D7-2,2,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0261,,,,2-85-6.5-D7-3,2,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0262,,,,2-85-6.5-D7-4,2,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0263,,,,2-90-6.5-D7-1,2,90,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0264,,,,2-75-10-D7-1,2,75,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0265,,,,2-85-10-D7-1,2,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0266,,,,2-85-10-D7-2,2,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0267,,,,2-90-19-D7-1,2,90,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0268,,,,2-90-19-D7-2,2,90,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0269,,,,2-90-19-D7-3,2,90,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0270,,,,2-75-10-D9-1,2,75,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0271,,,,2-75-10-D9-2,2,75,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0272,,,,2-75-10-D9-3,2,75,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0273,,,,2-75-10-D9-4,2,75,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0274,,,,2-85-10-D9-1,2,85,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0275,,,,2-85-10-D9-2,2,85,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0276,,,,2-90-10-D9-1,2,90,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0277,,,,2-90-10-D9-2,2,90,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0278,,,,2-90-10-D9-3,2,90,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0279,,,,2-CVTA-75-10-D9-1,2,75,CVTA,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0280,,,,2-CVTA-85-10-D9-1,2,85,CVTA,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0281,,,,2-75-10-D11-1,2,75,,10,11
Lonestar ESL Isolates.xlsx#Sheet1,L8-0282,,,,2-85-10-D11-1,2,85,,10,11
Lonestar ESL Isolates.xlsx#Sheet1,L8-0283,,,,2-85-10-D11-2,2,85,,10,11
Lonestar ESL Isolates.xlsx#Sheet1,L8-0284,,,,2-90-10-D11-1,2,90,,10,11
Lonestar ESL Isolates.xlsx#Sheet1,L8-0285,,,,2-CVTA-85-10-D11-1,2,85,CVTA,10,11
Lonestar ESL Isolates.xlsx#Sheet1,L8-0286,,,,2-75-10-D13-1,2,75,,10,13
Lonestar ESL Isolates.xlsx#Sheet1,L8-0287,,,,2-85-10-D13-1,2,85,,10,13
Lonestar ESL Isolates.xlsx#Sheet1,L8-0288,,,,2-85-10-D13-2,2,85,,10,13
Lonestar ESL Isolates.xlsx#Sheet1,L8-0289,,,,2-90-10-D13-1,2,90,,10,13
Lonestar ESL Isolates.xlsx#Sheet1,L8-0290,,,,2-90-10-D13-2,2,90,,10,13
Lonestar ESL Isolates.xlsx#Sheet1,L8-0291,,,,2-90-10-D13-3,2,90,,10,13
Lonestar ESL Isolates.xlsx#Sheet1,L8-0292,,,,2-75-3-D14-1,2,75,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0293,,,,2-75-3-D14-2,2,75,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0294,,,,2-75-3-D14-3,2,75,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0295,,,,2-85-3-D14-1,2,85,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0296,,,,2-85-3-D14-2,2,85,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0297,,,,2-90-3-D14-1,2,90,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0298,,,,2-90-3-D14-2,2,90,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0299,,,,2-75-6.5-D14-1,2,75,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0300,,,,2-75-6.5-D14-2,2,75,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0301,,,,2-75-6.5-D14-3,2,75,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0302,,,,2-85-6.5-D14-1,2,85,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0303,,,,2-85-6.5-D14-2,2,85,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0304,,,,2-85-6.5-D14-3,2,85,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0305,,,,2-90-6.5-D14-1,2,90,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0306,,,,2-90-6.5-D14-2,2,90,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0307,,,,2-CVTA-85-6.5-D14-1,2,85,CVTA,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0308,,,,2-75-10-D15-1,2,75,,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0309,,,,2-85-10-D15-2,2,85,,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0310,,,,2-85-10-D15-3,2,85,,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0311,,,,2-90-10-D15-1,2,90,,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0312,,,,2-90-10-D15-2,2,90,,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0313,,,,2-90-10-D15-3,2,90,,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0314,,,,2-90-10-D17-1,2,90,,10,17
Lonestar ESL Isolates.xlsx#Sheet1,L8-0315,,,,2-90-10-D17-2,2,90,,10,17
Lonestar ESL Isolates.xlsx#Sheet1,L8-0316,,,,2-75-10-D18-1,2,75,,10,18
Lonestar ESL Isolates.xlsx#Sheet1,L8-0317,,,,2-75-3-D21-1,2,75,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0318,,,,2-75-3-D21-2,2,75,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0319,,,,2-85-3-D21-1,2,85,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0320,,,,2-90-3-D21-1,2,90,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0321,,,,2-75-6.5-D21-1,2,75,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0322,,,,2-85-6.5-D21-1,2,85,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0323,,,,2-90-6.5-D21-1,2,90,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0324,,,,2-85-10-D15-1,2,85,,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0325,,,,2-CVTA-75-10-D15-1,2,75,CVTA,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0326,,,,2-CVTA-90-10-D15-3,2,90,CVTA,10,15
Lonestar ESL Isolates.xlsx#Sheet1,L8-0327,,,,2-75-3-D28-1,2,75,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0328,,,,2-85-3-D28-1,2,85,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0329,,,,2-85-3-D28-2,2,85,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0330,,,,2-90-3-D28-1,2,90,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0331,,,,2-90-3-D28-2,2,90,,3,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0332,,,,2-75-6.5-D28-1,2,75,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0333,,,,2-85-6.5-D28-1,2,85,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0334,,,,2-90-6.5-D28-1,2,90,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0335,,,,2-75-3-D35-2,2,75,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0336,,,,2-85-3-D35-1,2,85,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0337,,,,2-85-3-D35-2,2,85,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0338,,,,2-90-3-D35-1,2,90,,3,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0339,,,,2-75-6.5-D35-1,2,75,,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0340,,,,2-85-6.5-D35-1,2,85,,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0341,,,,2-90-6.5-D35-1,2,90,,6.5,35
Lonestar ESL Isolates.xlsx#Sheet1,L8-0342,,,,3-MSC-1,3,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0343,,,,3-MSC-2,3,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0344,,,,3-MSC-3,3,,MSC,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0345,,,,3-MSC-4,3,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0346,,,,3-MSC-5,3,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0347,,,,3-LPC-1,3,,LPC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0348,,,,3-LPC-2,3,,LPC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0349,,,,3-LPC-3,3,,LPC,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0350,,,,3-RawMilk-1,3,,RawMilk,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0351,,,,3-RawMilk-2,3,,RawMilk,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0352,,,,3-RawMilk-3,3,,RawMilk,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0353,,,,3-PI-1,3,,PI,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0354,,,,3-PI-2,3,,PI,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0355,,,,3-PI-3,3,,PI,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0356,,,,3-75-DI-2,3,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0357,,,,3-75-DI-3,3,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0358,,,,3-75-DI-4,3,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0359,,,,3-85-DI-1,3,85,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0360,,,,3-85-DI-2,3,85,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0361,,,,3-85-DI-3,3,85,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0362,,,,3-90-DI-1,3,90,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0363,,,,3-75-10-D3-1,3,75,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0364,,,,3-75-10-D3-2,3,75,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0365,,,,3-75-10-D3-4,3,75,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0366,,,,3-85-10-D3-1,3,85,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0367,,,,3-85-10-D3-2,3,85,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0368,,,,3-85-10-D3-3,3,85,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0369,,,,3-85-10-D3-4,3,85,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0370,,,,3-90-10-D3-1,3,90,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0371,,,,3-90-10-D3-2,3,90,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0372,,,,3-90-10-D3-3,3,90,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0373,,,,3-75-10-D3-3,3,75,,10,3
Lonestar ESL Isolates.xlsx#Sheet1,L8-0374,,,,2-90-6.5-D28-2,2,90,,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0375,,,,3-75-10-D5-1,3,75,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0376,,,,3-75-10-D5-2,3,75,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0377,,,,3-75-10-D5-3,3,75,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0378,,,,3-85-10-D5-1,3,85,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0379,,,,3-85-10-D5-2,3,85,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0380,,,,3-85-10-D5-3,3,85,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0381,,,,3-85-10-D5-4,3,85,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0382,,,,3-90-10-D5-1,3,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0383,,,,3-90-10-D5-2,3,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0384,,,,3-90-10-D5-3,3,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0385,,,,3-90-10-D5-4,3,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0386,,,,3-90-10-D5-5,3,90,,10,5
Lonestar ESL Isolates.xlsx#Sheet1,L8-0387,,,,3-CVTA-85-10-D7-1,3,85,CVTA,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0388,,,,3-75-3-D7-1,3,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0389,,,,3-75-3-D7-2,3,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0390,,,,3-75-3-D7-3,3,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0391,,,,3-85-3-D7-1,3,85,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0392,,,,3-85-3-D7-2,3,85,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0393,,,,3-85-3-D7-3,3,85,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0394,,,,3-90-3-D7-1,3,90,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0395,,,,3-90-3-D7-2,3,90,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0396,,,,3-90-3-D7-3,3,90,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0397,,,,3-90-3-D7-4,3,90,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0398,,,,3-75-6.5-D7-1,3,75,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0399,,,,3-75-6.5-D7-3,3,75,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0400,,,,3-75-6.5-D7-4,3,75,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0401,,,,3-85-6.5-D7-1,3,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0402,,,,3-85-6.5-D7-2,3,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0403,,,,3-85-6.5-D7-3,3,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0404,,,,3-85-6.5-D7-4,3,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0405,,,,3-90-6.5-D7-1,3,90,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0406,,,,3-90-6.5-D7-2,3,90,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0407,,,,3-75-10-D7-1,3,75,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0408,,,,3-85-10-D7-1,3,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0409,,,,3-85-10-D7-2,3,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0410,,,,3-85-10-D7-3,3,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0411,,,,3-85-10-D7-4,3,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0412,,,,3-90-10-D7-1,3,90,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0413,,,,3-90-10-D7-2,3,90,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0414,,,,3-90-10-D7-3,3,90,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0415,,,,3-CVTA-75-10-D7-1,3,75,CVTA,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0416,,,,3-CVTA-75-10-D7-2,3,75,CVTA,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0417,,,,2-75-6.5-D42-1,2,75,,6.5,42
Lonestar ESL Isolates.xlsx#Sheet1,L8-0418,,,,3-75-10-D9-1,3,75,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0419,,,,3-75-10-D9-2,3,75,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0420,,,,3-75-10-D9-3,3,75,,10,9
Lonestar ESL Isolates.xlsx#Sheet1,L8-0421,,,,3-85-10-D9-1,3,85,,10,9
