File,FSL,Genus,species,AT,Lab_ID,Trial,HTST_Temp,PlateType,Storage_Temp,Day
ALL ESL IDs.xlsx#ALL,L8-0323,Paenibacillus,odorifer,7,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0332,Paenibacillus,odorifer,27,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0333,Paenibacillus,odorifer,74,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0334,Paenibacillus,odorifer,15,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0339,Paenibacillus,odorifer,15,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0340,Paenibacillus,sp.1,778,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0347,Bacillus,cereus_ss,277,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0348,Bacillus,subtilis_sl,583,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0349,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0356,Bacillus,paralicheniformis_cf,727,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0357,Brevibacillus,choshinensis,1928,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0358,Bacillus,subtilis_sl,583,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0359,Bacillus,safensis,141,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0360,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0361,Bacillus,paralicheniformis,215,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0362,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0428,Paenibacillus,odorifer,32,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0429,Paenibacillus,odorifer,32,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0430,Paenibacillus,odorifer,32,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0431,Bacillus,mosaicus,780,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0432,Paenibacillus,sp.1,781,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0433,Bacillus,cereus_ss,768,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0434,Lysinibacillus,sp.1,299,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0435,Paenibacillus,amylolyticus_sl,111,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0436,Paenibacillus,sp.1,42,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0437,Bacillus,cereus_ss,277,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0439,Bacillus,mosaicus,410,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0440,Bacillus,toyonensis,775,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0441,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0442,Bacillus,cereus_ss,366,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0443,Paenibacillus,odorifer,15,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0459,Paenibacillus,sp.1,782,,,,,,
